test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,1,P28,single,NA,bilingual,non-dominant,10,French,26,74,NA,0,NA,74,26,male,262,2.1591556218502026,0.5687235161487638,9.92125,5.392257511602035,8
Montreal,1,P28,switched,NA,bilingual,non-dominant,10,French,26,74,NA,0,NA,74,26,male,262,2.0838249655227914,0.7438710380681798,9.9325,5.998342032833501,8
Montreal,2,P28,single,NA,bilingual,non-dominant,10,French,26,74,NA,0,NA,74,26,male,262,1.8923333795672976,0.45223949244148903,7.2725,3.5040048515948152,8
Montreal,2,P28,switched,NA,bilingual,non-dominant,10,French,26,74,NA,0,NA,74,26,male,262,2.009831085433068,0.42015693744981364,8.09625,3.6973037956249764,8
Montreal,1,P29,single,NA,monolingual,dominant,16,English,94,7,NA,0,NA,94,7,male,297,1.7296237928383622,0.7033921257452191,7.016,5.776013331009548,5
Montreal,1,P29,switched,NA,monolingual,dominant,16,English,94,7,NA,0,NA,94,7,male,297,2.158382510331198,0.7501646959613806,10.35,5.626224311205518,5
Montreal,2,P29,single,NA,monolingual,dominant,16,English,94,7,NA,0,NA,94,7,male,297,1.3205886648533778,0.36300967969534065,3.95,1.4585952145814822,5
Montreal,2,P29,switched,NA,monolingual,dominant,16,English,94,7,NA,0,NA,94,7,male,297,2.28674035391911,0.41634067772265154,10.5,4.3147576216206325,4
Montreal,1,P31,single,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,female,291,2.2185557954888893,0.5445489551669067,10.387142857142857,5.494038327392442,7
Montreal,1,P31,switched,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,female,291,1.5817612440649547,0.4273003449985743,5.27875,2.3656677553222534,8
Montreal,2,P31,single,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,female,291,2.087844674362565,0.7648453248444502,10.01142857142857,6.112229349349353,7
Montreal,2,P31,switched,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,female,291,1.8110571737305152,0.6107954986385219,7.1587499999999995,4.08014858798059,8
Montreal,1,P33,single,NA,monolingual,dominant,1,French,9,91,NA,0,NA,91,9,male,306,1.6791964689184244,0.31368045750250967,5.59,1.710739188604906,8
Montreal,1,P33,switched,NA,monolingual,dominant,1,French,9,91,NA,0,NA,91,9,male,306,1.7432034810030295,0.5981987481978566,6.75875,4.5280820206478465,8
Montreal,2,P33,single,NA,monolingual,dominant,1,French,9,91,NA,0,NA,91,9,male,306,1.9286975618814146,0.7489753957374126,8.494285714285715,5.328551576625857,7
Montreal,2,P33,switched,NA,monolingual,dominant,1,French,9,91,NA,0,NA,91,9,male,306,2.0744569471650474,0.5354101394241442,8.928571428571429,4.393197121958103,7
Montreal,1,P34,single,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,258,2.0961962321648486,0.6650815817868191,9.725,6.278205953933018,6
Montreal,1,P34,switched,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,258,1.8653854613445497,0.5075431604035706,7.1080000000000005,3.2505030379927353,5
Montreal,2,P34,single,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,258,2.1614531316495884,0.4418931472227347,9.51,5.016357244056687,6
Montreal,2,P34,switched,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,258,1.8663611790068262,0.8283375607206165,8.407142857142857,6.042482145293478,7
